id,title,imageSrc,url,cookTime,carbohydrates,fat,protein,calories,like,dislike
302,Healthy Homemade Green Bean Casserole,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/302-diabetic-healthy-green-bean-casserole_AdobeStock126125951_100720_28501105.jpg,https://www.diabetesfoodhub.org/recipes/healthy-homemade-green-bean-casserole.html?home-category_id=20,,11.0,6.0,4.0,110.0,3.0,0.0
84,Berry Crisp,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/084-diabetic-dessert-berry-crisp_diabetes-cookbook_081618_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/berry-crisp.html?home-category_id=20,55 min,24.0,11.0,3.0,190.0,8.0,1.0
2073,"Low-Carb Cauliflower Mashed ""Potatoes""",https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2073-diabetic-low-carb-cauliflower-mashed-potatoes_low-carb-brissette_050721_28501105.jpg,https://www.diabetesfoodhub.org/recipes/low-carb-cauliflower-mashed-potatoes.html?home-category_id=20,10 min,7.0,4.0,4.0,70.0,1.0,0.0
311,Herb-Roasted Turkey,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/311-diabetic-thanksgiving-herb-roasted-turkey_shutterstock1283064418_102419_28501105.jpg,https://www.diabetesfoodhub.org/recipes/herb-roasted-turkey.html?home-category_id=20,,0.0,2.5,33.0,165.0,1.0,0.0
592,Winter Squash with Oat and Walnut Crumble Topping ,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/oct2014-butternut-squash-oat_1362005566.jpg,https://www.diabetesfoodhub.org/recipes/winter-squash-with-oat-and-walnut-crumble-topping.html?home-category_id=20,,18.0,3.5,2.0,105.0,1.0,0.0
3490,Autumn Sheet Pan Veggies,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Splenda_Recipes_AutumnSheetPanVeggies_28501105.jpg,https://www.diabetesfoodhub.org/recipes/autumn-sheet-pan-veggies.html?home-category_id=20,,13.0,4.5,3.0,90.0,1.0,1.0
314,Holiday Brussels Sprouts with Cranberries,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/314-diabetic-holiday-brussels-sprouts-cranberries_shutterstock1235057137_101019_28501105.jpg,https://www.diabetesfoodhub.org/recipes/holiday-brussels-sprouts-with-cranberries.html?home-category_id=20,,10.0,4.5,2.0,80.0,1.0,0.0
79,Beef Stroganoff, https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/RecId_79_BeefStroganoff_Thinkstock487537715_021618_2779282754.jpg,https://www.diabetesfoodhub.org/recipes/beef-stroganoff.html?home-category_id=20,,29.0,7.0,23.0,275.0,148.0,41.0
313,"High-Fiber, Gluten-Free Brownies",https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Recid_313_High-Fiber_Gluten-Free_Brownies_iStock-183359961-2_02282018_28501105.jpg,https://www.diabetesfoodhub.org/recipes/high-fiber-gluten-free-brownies-quick-recipe.html?home-category_id=20,20 min,12.0,6.0,3.0,110.0,54.0,22.0
836,Signature Skillet Supper,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/recId_836_Secrets%20Healthy%20Cooking_SignatureSkilletSupper_022618_544486295.jpg,https://www.diabetesfoodhub.org/recipes/signature-skillet-supper.html?home-category_id=20,30 min,28.0,8.0,23.0,285.0,96.0,23.0
933,Breakfast Quesadilla,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/diabetic-breakfast-quesadilla-tex-mex-cookbook_080318_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/breakfast-quesadilla.html?home-category_id=20,16 min,8.0,10.0,14.0,160.0,154.0,29.0
390,Oven-Baked Chicken Taquitos,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/390-diabetic-baked-chicken-taquitos_AdobeStock_179656866_022621_28501105.jpg,https://www.diabetesfoodhub.org/recipes/oven-baked-chicken-taquitos.html?home-category_id=20,40 min,35.0,11.0,22.0,320.0,119.0,20.0
43,Apple Crisp,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/043-diabetic-dessert-apple-crisp_shutterstock-1076792399_111418_28501105.jpg,https://www.diabetesfoodhub.org/recipes/apple-crisp.html?home-category_id=20,,25.0,3.0,1.0,130.0,55.0,66.0
1928,Simple Chicken Stirfry,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1928-chicken-stir-fry-diabetic-simple-pantry_AS_175212927_031920_28501105.jpg,https://www.diabetesfoodhub.org/recipes/simple-chicken-stirfry.html?home-category_id=20,10 min,9.0,8.0,18.0,180.0,186.0,26.0
1330,Meat Lover's Breakfast Cups,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1330-diabetic-meat-lovers-breakfast-cups_MFTK-weeknight-favorites_092718_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/meat-lovers-breakfast-cups.html?home-category_id=20,,9.0,5.0,8.0,110.0,203.0,29.0
549,Tailgate Nachos,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Recid_549_Tailgate_Nachos_PNCImages_03012018_438153979.jpg,https://www.diabetesfoodhub.org/recipes/tailgate-nachos.html?home-category_id=20,25 min,32.0,8.0,25.0,300.0,54.0,12.0
416,Power Snack Mix,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Recid_416_Power_Snack_Mix_02282018_438153979.jpg,https://www.diabetesfoodhub.org/recipes/power-snack-mix.html?home-category_id=20,,19.0,12.0,4.0,190.0,104.0,17.0
1422,Pumpkin-Vanilla Pudding,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/pumpkin-vanilla-pudding-Nov15_2567585477.jpg,https://www.diabetesfoodhub.org/recipes/pumpkin-vanilla-pudding.html?home-category_id=20,7 min,9.0,4.0,3.0,85.0,45.0,24.0
59,Baked Chicken Empanadas,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Recid_59_Baked_Chicken_Empanadas_ThinkstockPhotos-521951785_02262018_28501105.jpg,https://www.diabetesfoodhub.org/recipes/baked-chicken-empanadas.html?home-category_id=20,20 min,13.0,3.0,6.0,100.0,42.0,3.0
28,Sloppy Janes,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/028-diabetic-sloppy-joe_AdobeStock_414452712_022521_28501105.jpg,https://www.diabetesfoodhub.org/recipes/sloppy-janes.html?home-category_id=20,20 min,31.0,7.0,16.0,250.0,99.0,28.0
29,Slow-Cooker Beef Stew,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/029-diabetic-slow-cooker-beef-stew_AdobeStock_328039739_022521_28501105.jpg,https://www.diabetesfoodhub.org/recipes/slow-cooker-beef-stew.html?home-category_id=20,8 hr,27.0,7.0,22.0,260.0,97.0,17.0
3472,One Skillet Sweet Orange Chicken,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Splenda_Recipes_OneSkilletSweetOrangeChicken_28501105.jpg,https://www.diabetesfoodhub.org/recipes/one-skillet-sweet-orange-chicken.html?home-category_id=20,,16.0,7.0,28.0,230.0,45.0,9.0
1022,Better Mashed Potatoes,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/v67n01_p86_2567585477.jpg,https://www.diabetesfoodhub.org/recipes/better-mashed-potatoes.html?home-category_id=20,15 min,7.0,2.0,2.0,60.0,136.0,40.0
398,Peanut Butter Banana Oat Bites,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/383_diabetic-peanut-butter-banana-oat-bites_diabetes-cookbook_081618_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/peanut-butter-banana-oat-bites.html?home-category_id=20,,8.0,4.0,3.0,75.0,106.0,36.0
3426,Easy Spinach Ricotta Enchiladas,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Easy%20Spinach%20Ricotta%20Enchilada_7376454.png,https://www.diabetesfoodhub.org/recipes/easy-spinach-ricotta-enchiladas.html?home-category_id=20,15 min,37.0,12.0,16.0,300.0,67.0,11.0
378,No-Bake Peanut Butter & Chocolate Bites,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/378-diabetic-peanut-butter-chocolate-aot-energy-bites_AdobeStock_314579916_022621_28501105.jpg,https://www.diabetesfoodhub.org/recipes/no-bake-peanut-butter-chocolate-bites.html?home-category_id=20,,9.0,3.5,2.0,80.0,125.0,21.0
165,Chicken Nacho Casserole,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/165-Diabetic-Chicken-Taco-Nacho_185907388_080118_28501105.jpg,https://www.diabetesfoodhub.org/recipes/chicken-nacho-casserole.html?home-category_id=20,25 min,21.0,6.0,24.0,230.0,48.0,6.0
646,Chicken Pot Pie with Phyllo,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/RecId_646_Chicken%20Pot%20Pie%20with%20Phyllo_DiabetesComfortFood_022518_544486295.jpg,https://www.diabetesfoodhub.org/recipes/chicken-pot-pie-with-phyllo.html?home-category_id=20,30 min,26.0,2.5,13.0,180.0,59.0,13.0
2017,Unstuffed Eggroll,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2017-diabetic-unstuffed-eggroll_diabetes-cookbook_081618_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/unstuffed-eggroll.html?home-category_id=20,,9.0,9.0,25.0,220.0,97.0,16.0
3495,Turkey Chili Stuffed Sweet Potatoes,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Chili%20sweet%20potato%20for%20diabetic_7376454.png,https://www.diabetesfoodhub.org/recipes/turkey-chili-stuffed-sweet-potatoes.html?home-category_id=20,,41.0,15.0,27.0,400.0,38.0,4.0
